marketName,DOWN,UP,UP_complete,DOWN_complete,hedge_status
"Bitcoin Up or Down - March 25, 5:20PM-5:25PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 5:25PM-5:30PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 6:05PM-6:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:10PM-6:15PM ET",4.990768,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:15PM-6:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:20PM-6:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:25PM-6:30PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:30PM-6:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:35PM-6:40PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:40PM-6:45PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:45PM-6:50PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 6:50PM-6:55PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 6:55PM-7:00PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:00AM-7:05AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 25, 7:00PM-7:05PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:05AM-7:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:05PM-7:10PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 7:10AM-7:15AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:10PM-7:15PM ET",4.999422,4.997691,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:15AM-7:20AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:15PM-7:20PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 7:20AM-7:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:20PM-7:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:25AM-7:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:25PM-7:30PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:30AM-7:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:30PM-7:35PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 25, 7:35AM-7:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:40AM-7:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:45AM-7:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:50AM-7:55AM ET",5.0,4.997691,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 7:55AM-8:00AM ET",4.9961519999999995,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:00AM-8:05AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 8:05AM-8:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:10AM-8:15AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:10PM-8:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:15AM-8:20AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 8:20AM-8:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:25AM-8:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:30AM-8:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:35AM-8:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:40AM-8:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:45AM-8:50AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 8:50AM-8:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 8:50PM-8:55PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:05AM-9:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:10AM-9:15AM ET",5.0,5.0,True,True,SUCCESS
